age,year,cgpa,study_hours,attendance,assignment_stress,exam_count,sleep_hours,social_media,physical_activity,screen_time,financial_stress,social_support,academic_life_satisfaction,thought_break,career_stress,academic_performance,gender_Male,gender_Prefer not to say,university_Kathmandu University,university_Other,university_Pokhara University,university_Purbanchal University,university_Rajarshi Janak University,university_Sudurpaschim University,university_Tribhuvan University,program_BBS,program_BCA,program_BDS,program_BE/B.Tech,program_BHM,program_BIM,program_BSc CSIT,program_BSc Nursing,program_Law(LLB),program_MBBS,part_time_job_Yes
2,4,0,1,2,2,1,2,4,1,3,4,5,4,1,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
4,3,3,3,5,3,3,3,5,1,4,4,1,2,1,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,4,4,2,5,4,1,3,2,4,2,1,3,4,2,5,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3,5,3,2,1,1,4,4,3,3,2,1,1,5,1,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
4,4,0,2,3,2,1,1,3,2,1,3,5,3,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2,2,3,3,4,1,2,3,2,2,2,3,3,3,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,4,3,2,4,3,1,3,3,0,3,4,3,4,3,3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3,4,3,1,3,2,2,2,2,1,2,5,4,2,3,5,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4,4,4,5,5,5,4,3,3,4,2,3,3,3,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,4,0,3,4,4,4,3,3,1,4,5,4,4,4,4,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,4,4,1,4,5,4,4,5,0,4,5,1,5,5,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,5,3,1,1,1,4,3,3,3,3,1,1,5,1,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
4,1,4,1,1,5,1,3,2,0,4,5,2,5,2,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,4,0,1,3,1,1,3,3,2,2,2,3,3,3,3,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2,2,2,2,3,2,2,3,3,1,2,3,2,3,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,4,2,2,4,3,3,2,3,0,1,5,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2,4,4,5,5,1,4,1,1,4,4,3,1,4,3,3,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2,4,3,4,2,2,2,2,2,1,1,2,2,3,2,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,2,2,3,2,1,2,2,2,1,1,2,4,3,2,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4,5,4,2,5,4,4,2,4,1,3,3,4,4,3,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,3,1,2,2,2,2,3,2,1,2,2,2,2,4,3,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,3,3,3,3,1,3,3,3,1,3,2,3,3,3,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3,4,2,2,2,3,2,2,2,1,2,3,3,4,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2,0,5,3,5,1,4,5,2,4,3,2,2,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2,4,3,2,3,4,1,3,1,3,3,3,3,3,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,4,3,4,4,3,3,4,4,3,3,3,2,4,4,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,4,4,4,3,2,2,2,3,3,2,2,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,5,4,4,2,4,3,3,2,2,3,3,4,2,3,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4,4,2,4,4,3,2,3,3,1,2,2,4,3,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,2,3,2,2,2,3,2,1,2,3,2,2,5,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,3,3,3,2,1,1,2,3,2,3,4,4,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,3,2,3,3,1,3,2,3,1,3,2,2,3,3,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,4,3,4,4,3,2,2,2,1,3,2,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,3,2,1,2,2,3,2,2,3,2,3,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,4,2,3,3,3,2,2,2,1,2,2,3,3,5,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3,3,2,3,3,2,2,2,4,3,3,2,1,2,3,2,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
