Timestamp,"Research Participation Consent
",How old are you? ,What is your gender? ,  Which university are you currently studying in?  ,   What program are you currently enrolled in?  ,  Which year are you currently studying in?  ,  Current GPA/CGPA  ,"On average, how many hours do you study per day (outside class)?",What is your approximate class attendance?,"How often do you feel overwhelmed by assignments, projects, and deadlines? ","How many major exams, tests, or assessments have you completed during the current semester or year? ",How many hours of sleep do you get per night? ,"On average, how much time do you spend on social media each day?",How often do you engage in physical activity or exercise?,  Part-time Job  ,"On average, what is your total daily screen time (including study and entertainment)?",How often do financial concerns related to your education cause you stress?,"When you feel stressed, how often do you have someone you trust to talk to? ","During the last month, how often have you felt nervous or stressed because of your studies?","During the last month, how often have you felt that your academic responsibilities were becoming difficult to manage?  ","During the last month, how often have you worried about your academic performance or grades?  ","During the last month, how often have you felt confident in your ability to handle academic challenges?  ","During the last month, how often have you felt that things were going well in your academic life?  ","During the last month, how often have you felt overwhelmed by the amount of work you needed to complete?","During the last month, how often have you been able to stay calm when facing academic pressure?  ","During the last month, how often have you felt in control of your studies and responsibilities?  ","During the last month, how often have you felt frustrated because of situations beyond your control?  ","During the last month, how often have you felt that your academic problems were piling up faster than you could handle them?  ","Overall, how satisfied are you with your academic life at the moment?","In your opinion, what is the biggest source of academic stress in your life, and why? ",Have you ever thought about taking a break from your studies because of academic pressure?  ,How often do concerns about your future career or employment cause you stress?,How satisfied are you with your current academic performance?
7/5/2026 22:41:57,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BCA,4th Year,Not Available Yet,Less than 1,60–70%,2,1-2,5–6,5–6 hours,1–2 days/week,Yes,6–8 hours,4,5,2,1,5,3,3,3,2,2,5,4,4,Sudden Need of submission for project ,Never,5,4
7/5/2026 23:01:57,"Yes, I agree to participate.",Above 25,Male,Other,BSc Nursing,3rd Year,3.0–3.49,3–4,Above 90%,3,5-6,7–8,More than 6 hours,1–2 days/week,Yes,More than 8 hours,4,1,3,2,3,4,3,3,4,2,2,4,2,"Expectations: There’s pressure to get good grades, meet course requirements, and sometimes live up to what family, teachers, or even I expect from myself. This constant need to perform well creates anxiety.",Never,4,2
7/6/2026 4:30:56,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BE/B.Tech,4th Year,3.5–4.0,1–2,Above 90%,4,1-2,7–8,1–2 hours,Daily,No,3–5 hours,1,3,4,3,4,2,2,4,2,2,3,3,4,Capstone projects.,Rarely,5,4
7/6/2026 11:01:28,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BCA,5th Year,3.0–3.49,1–2,Below 60%,1,More than 6,More than 8,3–4 hours,5–6 days/week,Yes,3–5 hours,1,1,1,1,1,1,5,1,5,5,1,5,5,Seen in many people about grading physiology pressure,Never,1,5
7/6/2026 21:36:53,"Yes, I agree to participate.",Above 25,Male,Tribhuvan University,BSc CSIT,4th Year,Not Available Yet,1–2,71–80%,2,1-2,Less than 5,3–4 hours,3–4 days/week,Yes,Less than 3 hours,3,5,2,2,5,5,3,3,2,2,4,2,3,Money and education balancing part,Sometimes,1,3
7/6/2026 21:49:28,"Yes, I agree to participate.",20-22,Male,Kathmandu University,BSc CSIT,2nd Year,3.0–3.49,3–4,81–90%,1,3-4,7–8,1–2 hours,3–4 days/week,No,3–5 hours,3,3,2,2,3,2,2,3,3,3,3,3,3,Study management,Rarely,3,3
7/8/2026 20:00:06,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BE/B.Tech,4th Year,3.0–3.49,1–2,81–90%,3,1-2,7–8,3–4 hours,Never,No,6–8 hours,4,3,4,3,4,3,3,3,4,4,4,4,4,Assesment  ,Sometimes,3,4
7/13/2026 15:27:46,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BCA,4th Year,3.0–3.49,Less than 1,71–80%,2,3-4,5–6,1–2 hours,1–2 days/week,No,3–5 hours,5,4,2,3,5,3,2,3,3,3,3,3,2, career concerns because I am unsure about job opportunities,Sometimes,5,2
7/21/2026 10:39:42,"Yes, I agree to participate.",Above 25,Male,Tribhuvan University,BSc CSIT,4th Year,3.5–4.0,More than 6 hours,Above 90%,5,More than 6,7–8,3–4 hours,Daily,No,3–5 hours,3,3,3,5,3,3,3,3,3,3,3,3,3,Frustration ,Never,3,3
7/21/2026 10:42:28,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BCA,4th Year,Not Available Yet,3–4,81–90%,4,More than 6,7–8,3–4 hours,1–2 days/week,No,More than 8 hours,5,4,5,5,5,5,3,5,3,3,5,4,4,multiple deadlines occur at the same time ,Often,4,4
7/21/2026 11:00:42,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BCA,4th Year,3.5–4.0,Less than 1,81–90%,5,More than 6,More than 8,More than 6 hours,Never,No,More than 8 hours,5,1,1,5,1,1,4,3,3,4,2,3,5,Toppers because they score higher than me.,Very Often,5,4
7/21/2026 12:16:03,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BCA,5th Year,3.0–3.49,Less than 1,Below 60%,1,More than 6,7–8,3–4 hours,5–6 days/week,Yes,6–8 hours,1,1,1,1,1,5,5,1,5,5,1,1,5,"Lack of discipline, not doing exercises ,more screen timing etc",Never,1,5
7/21/2026 12:35:17,"Yes, I agree to participate.",Above 25,Male,Tribhuvan University,Agriculture,1st Year,3.5–4.0,Less than 1,Below 60%,5,1-2,7–8,1–2 hours,Never,No,More than 8 hours,5,2,5,5,1,3,5,5,5,3,5,5,5,"Career concerns, because the job market is highly competitive and uncertain",Rarely,4,5
7/21/2026 14:23:20,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BCA,4th Year,Not Available Yet,Less than 1,71–80%,1,1-2,7–8,3–4 hours,3–4 days/week,No,3–5 hours,2,3,2,3,3,3,3,3,3,3,3,3,3,Deadlines ,Sometimes,3,3
7/21/2026 15:29:47,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BSc Nursing,2nd Year,2.5–2.99,1–2,71–80%,2,3-4,7–8,3–4 hours,1–2 days/week,No,3–5 hours,3,2,2,3,3,3,4,3,3,4,2,4,3,Academic Assignment and money management,Rarely,4,4
7/21/2026 18:00:21,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BBS,4th Year,2.5–2.99,1–2,81–90%,3,5-6,5–6,3–4 hours,Never,Yes,Less than 3 hours,5,3,1,1,2,2,3,1,1,1,1,1,1,"Because multiple deadlines occur at the same time , Future career concerns because I am unsure about job opportunities, Financial pressure because my family struggles to pay tuition.",Never,1,1
7/22/2026 9:31:58,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BCA,4th Year,3.5–4.0,More than 6 hours,Above 90%,1,More than 6,Less than 5,Less than 1 hour,Daily,No,More than 8 hours,3,1,3,2,3,3,4,1,1,5,2,3,4,Assignment ,Sometimes,3,3
7/22/2026 10:57:13,"Yes, I agree to participate.",20-22,Female,Pokhara University,BBS,4th Year,3.0–3.49,5–6,60–70%,2,3-4,5–6,1–2 hours,1–2 days/week,Yes,Less than 3 hours,2,2,1,1,5,1,4,3,3,5,4,4,3,Yes,Rarely,2,4
7/22/2026 11:00:27,"Yes, I agree to participate.",20-22,Male,Rajarshi Janak University,MBBS,2nd Year,2.5–2.99,3–4,60–70%,1,3-4,5–6,1–2 hours,1–2 days/week,Yes,Less than 3 hours,2,4,5,2,2,2,4,3,3,3,3,3,3,Nooo,Rarely,4,2
