age,gender,university,program,year,cgpa,study_hours,attendance,assignment_stress,exam_count,sleep_hours,social_media,physical_activity,part_time_job,screen_time,financial_stress,social_support,stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,stress_q6,stress_q7,stress_q8,stress_q9,stress_q10,academic_life_satisfaction,biggest_stress_reason,thought_break,career_stress,academic_performance,stress_q4_rev,stress_q5_rev,stress_q7_rev,stress_q8_rev,stress_score,stress_level
23-25,Female,Tribhuvan University,BBS,3rd Year,2.5–2.99,Less than 1,Below 60%,4,More than 6,7–8,3–4 hours,Never,Yes,6–8 hours,5,2,5,5,5,1,1,5,2,2,5,5,1,"Working part time and studying at the same time, pressure to become a doctor/engineer like my family expects",Very Often,5,3,5,5,4,4,48,High
17-19,Prefer not to say,Other,MBBS,1st Year,Not Available Yet,3–4,60–70%,2,More than 6,5–6,1–2 hours,5–6 days/week,No,3–5 hours,2,5,3,1,2,3,3,2,5,4,1,2,4,Paying semester fees while living in Kathmandu is hard,Sometimes,1,1,3,3,1,2,20,Low
20-22,Male,Agriculture and Forestry University,Agriculture,1st Year,3.0–3.49,Less than 1,71–80%,5,More than 6,7–8,3–4 hours,1–2 days/week,Yes,More than 8 hours,3,4,3,3,3,3,3,4,2,3,2,3,3,Final year project and internship,Never,4,5,3,3,4,3,31,Moderate
20-22,Female,Tribhuvan University,BDS,3rd Year,Not Available Yet,1–2,81–90%,5,3-4,5–6,Less than 1 hour,Never,No,3–5 hours,2,3,3,3,4,1,1,5,2,2,4,4,3,"Career, tuition fees and hostel expenses",Often,4,3,5,5,4,4,41,High
20-22,Male,Tribhuvan University,BE/B.Tech,3rd Year,2.5–2.99,3–4,71–80%,1,3-4,7–8,Less than 1 hour,1–2 days/week,No,3–5 hours,3,2,2,2,1,4,3,3,4,4,1,1,4,Lack of practical classes and resources,Often,2,3,2,3,2,2,19,Low
20-22,Female,Pokhara University,BSc Nursing,4th Year,3.0–3.49,3–4,81–90%,4,1-2,Less than 5,1–2 hours,1–2 days/week,No,More than 8 hours,4,1,5,3,4,2,1,4,1,3,4,4,2,Career,Sometimes,5,4,4,5,5,3,41,High
17-19,Male,Tribhuvan University,MBBS,1st Year,Not Available Yet,3–4,81–90%,1,3-4,7–8,1–2 hours,5–6 days/week,No,3–5 hours,3,4,2,2,2,5,5,1,5,5,2,1,5,Lack of discipline and too much screen time,Sometimes,2,3,1,1,1,1,14,Low
20-22,Female,Tribhuvan University,BSc CSIT,3rd Year,2.5–2.99,3–4,71–80%,2,5-6,5–6,3–4 hours,Never,No,More than 8 hours,4,1,3,4,3,3,1,4,3,3,4,4,3,Balancing money and education,Often,2,1,3,5,3,3,36,Moderate
20-22,Prefer not to say,Tribhuvan University,BBS,4th Year,3.0–3.49,1–2,60–70%,4,More than 6,5–6,3–4 hours,Never,Yes,6–8 hours,4,2,3,4,4,2,2,4,2,3,4,4,2,Tuition fees and hostel expenses,Often,5,4,4,4,4,3,38,High
20-22,Male,Tribhuvan University,BSc CSIT,2nd Year,3.5–4.0,3–4,71–80%,3,5-6,7–8,5–6 hours,Never,Yes,More than 8 hours,2,4,2,2,2,3,4,2,4,4,2,3,4,Exam routine keeps changing and results come very late,Rarely,4,5,3,2,2,2,22,Low
23-25,Male,Tribhuvan University,BCA,2nd Year,3.0–3.49,Less than 1,71–80%,2,1-2,5–6,3–4 hours,5–6 days/week,No,3–5 hours,2,5,2,2,2,4,3,2,5,5,1,3,3,Frustration ,Rarely,3,4,2,3,1,1,19,Low
23-25,Female,Purbanchal University,BSc Nursing,4th Year,3.0–3.49,3–4,Above 90%,3,3-4,5–6,Less than 1 hour,Never,No,3–5 hours,3,5,2,3,2,3,5,2,4,4,3,2,3,Lack of discipline and too much screen time,Sometimes,4,4,3,1,2,2,22,Low
20-22,Female,Tribhuvan University,BIM,2nd Year,3.0–3.49,3–4,60–70%,5,More than 6,5–6,5–6 hours,1–2 days/week,Yes,More than 8 hours,4,2,5,5,5,1,3,5,1,1,5,3,2,Deadlines,Often,3,3,5,3,5,5,46,High
20-22,Male,Tribhuvan University,Agriculture,4th Year,3.5–4.0,1–2,81–90%,2,More than 6,7–8,Less than 1 hour,1–2 days/week,No,3–5 hours,2,4,1,2,2,5,3,3,4,4,1,2,4,Final year project and internship,Never,3,4,1,3,2,2,19,Low
23-25,Female,Tribhuvan University,BCA,4th Year,2.0–2.49,Less than 1,60–70%,3,5-6,Less than 5,Less than 1 hour,1–2 days/week,Yes,3–5 hours,4,4,2,3,2,2,2,3,4,3,2,3,3,Job ,Sometimes,5,2,4,4,2,3,28,Moderate
17-19,Female,Tribhuvan University,BCA,2nd Year,3.5–4.0,More than 6 hours,Above 90%,4,More than 6,7–8,Less than 1 hour,Never,No,More than 8 hours,4,5,2,4,3,2,3,3,2,3,3,3,3,Nothing much,Sometimes,3,5,4,3,4,3,32,Moderate
20-22,Male,Tribhuvan University,MBBS,3rd Year,2.0–2.49,Less than 1,Below 60%,3,5-6,7–8,1–2 hours,3–4 days/week,Yes,6–8 hours,2,3,2,3,3,3,4,1,3,4,3,1,3,Job market is competitive and many seniors are still unemployed,Rarely,3,3,3,2,3,2,23,Low
Above 25,Prefer not to say,Sudurpaschim University,BCA,4th Year,3.0–3.49,5–6,60–70%,3,3-4,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,1,3,3,2,4,3,2,3,4,3,3,2,3,Semester project with weak team members,Sometimes,5,4,3,4,2,3,29,Moderate
17-19,Male,Rajarshi Janak University,BCA,2nd Year,3.0–3.49,3–4,71–80%,2,5-6,5–6,Less than 1 hour,3–4 days/week,Yes,3–5 hours,4,4,1,2,1,3,3,1,4,5,1,2,3,Assignments because multiple deadlines occur at the same time,Never,4,4,3,3,2,1,17,Low
23-25,Male,Purbanchal University,Agriculture,2nd Year,3.0–3.49,1–2,71–80%,4,3-4,Less than 5,3–4 hours,5–6 days/week,No,6–8 hours,4,3,4,3,2,2,3,3,1,1,4,4,3,Multiple assignments ,Very Often,4,3,4,3,5,5,37,High
20-22,Female,Other,MBBS,3rd Year,2.5–2.99,1–2,60–70%,1,3-4,7–8,1–2 hours,3–4 days/week,No,Less than 3 hours,2,3,2,2,2,4,5,1,4,5,1,1,3,Exam routine keeps changing and results come very late,Never,2,3,2,1,2,1,15,Low
Above 25,Male,Kathmandu University,BDS,5th Year,2.5–2.99,3–4,60–70%,2,1-2,5–6,1–2 hours,3–4 days/week,No,6–8 hours,1,3,2,2,1,5,4,2,3,5,3,2,4,Board exams,Sometimes,2,3,1,2,3,1,19,Low
20-22,Female,Kathmandu University,BDS,2nd Year,3.5–4.0,5–6,71–80%,4,1-2,Less than 5,5–6 hours,1–2 days/week,No,6–8 hours,4,1,4,4,5,2,1,5,2,1,5,5,1,Financial pressure ,Sometimes,2,4,4,5,4,5,46,High
23-25,Female,Rajarshi Janak University,Agriculture,4th Year,3.0–3.49,1–2,60–70%,3,3-4,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,2,2,2,2,3,3,2,2,3,3,2,1,5,Exams ,Rarely,3,4,3,4,3,3,25,Moderate
20-22,Male,Purbanchal University,BCA,4th Year,2.5–2.99,1–2,60–70%,2,3-4,5–6,Less than 1 hour,Never,Yes,3–5 hours,4,4,2,2,2,3,5,1,2,3,2,3,3,"Career, jobs are very limited in Nepal",Never,3,5,3,1,4,3,23,Low
23-25,Female,Tribhuvan University,BCA,3rd Year,2.5–2.99,3–4,Below 60%,5,3-4,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,3,2,5,3,4,3,2,4,2,2,4,4,3,Too many assignments and lab reports with the same deadline,Often,5,4,3,4,4,4,39,High
