Timestamp,"Research Participation Consent
I have read the information provided above and voluntarily agree to participate in this research study. I understand that my responses will be anonymous and used only for academic and research purposes.",How old are you? ,What is your gender? ,  Which university are you currently studying in?  ,   What program are you currently enrolled in?  ,  Which year are you currently studying in?  ,  Current GPA/CGPA  ,"On average, how many hours do you study per day (outside class)?",What is your approximate class attendance?,"How often do you feel overwhelmed by assignments, projects, and deadlines? ","How many major exams, tests, or assessments have you completed during the current semester or year? ",How many hours of sleep do you get per night? ,"On average, how much time do you spend on social media each day?",How often do you engage in physical activity or exercise?,  Part-time Job  ,"On average, what is your total daily screen time (including study and entertainment)?",How often do financial concerns related to your education cause you stress?,"When you feel stressed, how often do you have someone you trust to talk to? ","During the last month, how often have you felt nervous or stressed because of your studies?","During the last month, how often have you felt that your academic responsibilities were becoming difficult to manage?  ","During the last month, how often have you worried about your academic performance or grades?  ","During the last month, how often have you felt confident in your ability to handle academic challenges?  ","During the last month, how often have you felt that things were going well in your academic life?  ","During the last month, how often have you felt overwhelmed by the amount of work you needed to complete?","During the last month, how often have you been able to stay calm when facing academic pressure?  ","During the last month, how often have you felt in control of your studies and responsibilities?  ","During the last month, how often have you felt frustrated because of situations beyond your control?  ","During the last month, how often have you felt that your academic problems were piling up faster than you could handle them?  ","Overall, how satisfied are you with your academic life at the moment?","In your opinion, what is the biggest source of academic stress in your life, and why? ",Have you ever thought about taking a break from your studies because of academic pressure?  ,How often do concerns about your future career or employment cause you stress?,How satisfied are you with your current academic performance?,Data_Source
7/5/2026 2:36:49,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BBS,3rd Year,2.5–2.99,Less than 1,Below 60%,4,More than 6,7–8,3–4 hours,Never,Yes,6–8 hours,5,2,5,5,5,1,1,5,2,2,5,5,1,"Working part time and studying at the same time, pressure to become a doctor/engineer like my family expects",Very Often,5,3,Synthetic
7/5/2026 5:51:23,"Yes, I agree to participate.",17-19,Prefer not to say,Other,MBBS,1st Year,Not Available Yet,3–4,60–70%,2,More than 6,5–6,1–2 hours,5–6 days/week,No,3–5 hours,2,5,3,1,2,3,3,2,5,4,1,2,4,Paying semester fees while living in Kathmandu is hard,Sometimes,1,1,Synthetic
7/5/2026 6:05:29,"Yes, I agree to participate.",20-22,Male,Agriculture and Forestry University,Agriculture,1st Year,3.0–3.49,Less than 1,71–80%,5,More than 6,7–8,3–4 hours,1–2 days/week,Yes,More than 8 hours,3,4,3,3,3,3,3,4,2,3,2,3,3,Final year project and internship,Never,4,5,Synthetic
7/5/2026 9:21:08,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BDS,3rd Year,Not Available Yet,1–2,81–90%,5,3-4,5–6,Less than 1 hour,Never,No,3–5 hours,2,3,3,3,4,1,1,5,2,2,4,4,3,"Career, tuition fees and hostel expenses",Often,4,3,Synthetic
7/5/2026 13:30:32,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BE/B.Tech,3rd Year,2.5–2.99,3–4,71–80%,1,3-4,7–8,Less than 1 hour,1–2 days/week,No,3–5 hours,3,2,2,2,1,4,3,3,4,4,1,1,4,Lack of practical classes and resources,Often,2,3,Synthetic
7/5/2026 16:48:13,"Yes, I agree to participate.",20-22,Female,Pokhara University,BSc Nursing,4th Year,3.0–3.49,3–4,81–90%,4,1-2,Less than 5,1–2 hours,1–2 days/week,No,More than 8 hours,4,1,5,3,4,2,1,4,1,3,4,4,2,Career,Sometimes,5,4,Synthetic
7/5/2026 16:57:07,"Yes, I agree to participate.",17-19,Male,Tribhuvan University,MBBS,1st Year,Not Available Yet,3–4,81–90%,1,3-4,7–8,1–2 hours,5–6 days/week,No,3–5 hours,3,4,2,2,2,5,5,1,5,5,2,1,5,Lack of discipline and too much screen time,Sometimes,2,3,Synthetic
7/5/2026 20:23:46,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BSc CSIT,3rd Year,2.5–2.99,3–4,71–80%,2,5-6,5–6,3–4 hours,Never,No,More than 8 hours,4,1,3,4,3,3,1,4,3,3,4,4,3,Balancing money and education,Often,2,1,Synthetic
7/5/2026 21:25:25,"Yes, I agree to participate.",20-22,Prefer not to say,Tribhuvan University,BBS,4th Year,3.0–3.49,1–2,60–70%,4,More than 6,5–6,3–4 hours,Never,Yes,6–8 hours,4,2,3,4,4,2,2,4,2,3,4,4,2,Tuition fees and hostel expenses,Often,5,4,Synthetic
7/5/2026 23:10:04,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BSc CSIT,2nd Year,3.5–4.0,3–4,71–80%,3,5-6,7–8,5–6 hours,Never,Yes,More than 8 hours,2,4,2,2,2,3,4,2,4,4,2,3,4,Exam routine keeps changing and results come very late,Rarely,4,5,Synthetic
7/5/2026 23:38:08,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BCA,2nd Year,3.0–3.49,Less than 1,71–80%,2,1-2,5–6,3–4 hours,5–6 days/week,No,3–5 hours,2,5,2,2,2,4,3,2,5,5,1,3,3,Frustration ,Rarely,3,4,Synthetic
7/6/2026 2:26:19,"Yes, I agree to participate.",23-25,Female,Purbanchal University,BSc Nursing,4th Year,3.0–3.49,3–4,Above 90%,3,3-4,5–6,Less than 1 hour,Never,No,3–5 hours,3,5,2,3,2,3,5,2,4,4,3,2,3,Lack of discipline and too much screen time,Sometimes,4,4,Synthetic
7/6/2026 2:31:15,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BIM,2nd Year,3.0–3.49,3–4,60–70%,5,More than 6,5–6,5–6 hours,1–2 days/week,Yes,More than 8 hours,4,2,5,5,5,1,3,5,1,1,5,3,2,Deadlines,Often,3,3,Synthetic
7/6/2026 4:06:29,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,Agriculture,4th Year,3.5–4.0,1–2,81–90%,2,More than 6,7–8,Less than 1 hour,1–2 days/week,No,3–5 hours,2,4,1,2,2,5,3,3,4,4,1,2,4,Final year project and internship,Never,3,4,Synthetic
7/6/2026 5:02:08,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BCA,4th Year,2.0–2.49,Less than 1,60–70%,3,5-6,Less than 5,Less than 1 hour,1–2 days/week,Yes,3–5 hours,4,4,2,3,2,2,2,3,4,3,2,3,3,Job ,Sometimes,5,2,Synthetic
7/6/2026 5:45:36,"Yes, I agree to participate.",17-19,Female,Tribhuvan University,BCA,2nd Year,3.5–4.0,More than 6 hours,Above 90%,4,More than 6,7–8,Less than 1 hour,Never,No,More than 8 hours,4,5,2,4,3,2,3,3,2,3,3,3,3,Nothing much,Sometimes,3,5,Synthetic
7/6/2026 7:03:47,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,MBBS,3rd Year,2.0–2.49,Less than 1,Below 60%,3,5-6,7–8,1–2 hours,3–4 days/week,Yes,6–8 hours,2,3,2,3,3,3,4,1,3,4,3,1,3,Job market is competitive and many seniors are still unemployed,Rarely,3,3,Synthetic
7/6/2026 11:35:05,"Yes, I agree to participate.",Above 25,Prefer not to say,Sudurpaschim University,BCA,4th Year,3.0–3.49,5–6,60–70%,3,3-4,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,1,3,3,2,4,3,2,3,4,3,3,2,3,Semester project with weak team members,Sometimes,5,4,Synthetic
7/6/2026 15:09:49,"Yes, I agree to participate.",17-19,Male,Rajarshi Janak University,BCA,2nd Year,3.0–3.49,3–4,71–80%,2,5-6,5–6,Less than 1 hour,3–4 days/week,Yes,3–5 hours,4,4,1,2,1,3,3,1,4,5,1,2,3,Assignments because multiple deadlines occur at the same time,Never,4,4,Synthetic
7/6/2026 16:38:15,"Yes, I agree to participate.",23-25,Male,Purbanchal University,Agriculture,2nd Year,3.0–3.49,1–2,71–80%,4,3-4,Less than 5,3–4 hours,5–6 days/week,No,6–8 hours,4,3,4,3,2,2,3,3,1,1,4,4,3,Multiple assignments ,Very Often,4,3,Synthetic
7/6/2026 17:18:07,"Yes, I agree to participate.",20-22,Female,Other,MBBS,3rd Year,2.5–2.99,1–2,60–70%,1,3-4,7–8,1–2 hours,3–4 days/week,No,Less than 3 hours,2,3,2,2,2,4,5,1,4,5,1,1,3,Exam routine keeps changing and results come very late,Never,2,3,Synthetic
7/6/2026 18:27:49,"Yes, I agree to participate.",Above 25,Male,Kathmandu University,BDS,5th Year,2.5–2.99,3–4,60–70%,2,1-2,5–6,1–2 hours,3–4 days/week,No,6–8 hours,1,3,2,2,1,5,4,2,3,5,3,2,4,Board exams,Sometimes,2,3,Synthetic
7/6/2026 21:59:11,"Yes, I agree to participate.",20-22,Female,Kathmandu University,BDS,2nd Year,3.5–4.0,5–6,71–80%,4,1-2,Less than 5,5–6 hours,1–2 days/week,No,6–8 hours,4,1,4,4,5,2,1,5,2,1,5,5,1,Financial pressure ,Sometimes,2,4,Synthetic
7/6/2026 23:25:49,"Yes, I agree to participate.",23-25,Female,Rajarshi Janak University,Agriculture,4th Year,3.0–3.49,1–2,60–70%,3,3-4,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,2,2,2,2,3,3,2,2,3,3,2,1,5,Exams ,Rarely,3,4,Synthetic
7/7/2026 0:51:51,"Yes, I agree to participate.",20-22,Male,Purbanchal University,BCA,4th Year,2.5–2.99,1–2,60–70%,2,3-4,5–6,Less than 1 hour,Never,Yes,3–5 hours,4,4,2,2,2,3,5,1,2,3,2,3,3,"Career, jobs are very limited in Nepal",Never,3,5,Synthetic
7/7/2026 4:46:48,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BCA,3rd Year,2.5–2.99,3–4,Below 60%,5,3-4,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,3,2,5,3,4,3,2,4,2,2,4,4,3,Too many assignments and lab reports with the same deadline,Often,5,4,Synthetic
7/7/2026 6:21:07,"Yes, I agree to participate.",20-22,Male,Kathmandu University,BDS,2nd Year,2.5–2.99,5–6,60–70%,3,5-6,5–6,3–4 hours,Never,No,3–5 hours,3,3,4,4,4,2,3,4,3,3,4,4,2,Project submission deadlines clashing with exams,Rarely,5,2,Synthetic
7/7/2026 7:07:17,"Yes, I agree to participate.",23-25,Female,Other,BDS,4th Year,2.5–2.99,3–4,81–90%,3,5-6,5–6,5–6 hours,1–2 days/week,Yes,6–8 hours,2,2,3,2,3,2,2,4,4,3,3,3,4,Assignments because multiple deadlines occur at the same time,Very Often,4,3,Synthetic
7/7/2026 8:44:36,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BBS,3rd Year,3.0–3.49,3–4,81–90%,3,More than 6,5–6,Less than 1 hour,3–4 days/week,Yes,3–5 hours,2,4,4,3,3,4,3,2,3,3,4,3,3,Future career,Rarely,5,4,Synthetic
7/7/2026 9:07:43,"Yes, I agree to participate.",20-22,Male,Sudurpaschim University,BBS,4th Year,2.5–2.99,Less than 1,60–70%,3,More than 6,Less than 5,1–2 hours,Never,Yes,3–5 hours,4,3,2,3,3,4,2,3,2,1,5,3,2,Assignments because multiple deadlines occur at the same time,Often,4,4,Synthetic
